 #Opacity coefficient HI (B5V)
 # 1/Lambda [mu m^-1]              k_bf [cm^2]               k_ff [cm^2]
   16.129032258064516        2.3047567295623282E-018   4.5104206015937139E-028
   15.873015873015873        2.4079084086911130E-018   4.7280717573277623E-028
   15.625000000000000        2.5138318000874775E-018   4.9525674317967109E-028
   15.384615384615385        2.6225493064393126E-018   5.1840116640726655E-028
   15.151515151515152        2.7340828170120883E-018   5.4225084457614514E-028
   14.925373134328359        2.8484537107737649E-018   5.6681617219739619E-028
   14.705882352941176        2.9656828594466867E-018   5.9210753922632277E-028
   14.492753623188406        3.0857906304893255E-018   6.1813533115289492E-028
   14.285714285714286        3.2087968900106206E-018   6.4490992908910343E-028
   14.084507042253522        3.3347210056194855E-018   6.7244170985336814E-028
   13.888888888888889        3.4635818492119240E-018   7.0074104605213725E-028
   13.698630136986301        3.5953977996980800E-018   7.2981830615881240E-028
   13.513513513513514        3.7301867456714096E-018   7.5968385459011916E-028
   13.333333333333334        3.8679660880220653E-018   7.9034805178004299E-028
   13.157894736842104        4.0087527424964646E-018   8.2182125425143986E-028
   12.987012987012987        4.1525631422049418E-018   8.5411381468541935E-028
   12.820512820512821        4.2994132400792526E-018   8.8723608198860799E-028
   12.658227848101266        4.4493185112816486E-018   9.2119840135837145E-028
   12.500000000000000        4.6022939555671518E-018   9.5601111434609605E-028
   12.345679012345679        4.7583540996005604E-018   9.9168455891859929E-028
   12.195121951219512        4.9175129992296789E-018   1.0282290695177573E-027
   12.048192771084338        5.0797842417161663E-018   1.0656549771184138E-027
   11.904761904761905        5.2451809479253623E-018   1.1039726092846478E-027
   11.764705882352942        5.4137157744763821E-018   1.1431922902244596E-027
   11.627906976744185        5.5854009158536770E-018   1.1833243408429436E-027
   11.494252873563218        5.7602481064812855E-018   1.2243790787939993E-027
   11.363636363636363        5.9382686227608656E-018   1.2663668185306487E-027
   11.235955056179776        6.1194732850746094E-018   1.3092978713539989E-027
   11.111111111111111        6.3038724597540426E-018   1.3531825454609152E-027
   10.989010989010989        6.4914760610157570E-018   1.3980311459904433E-027
   10.869565217391305        5.0444985651442234E-022   1.4438539750690292E-027
   10.752688172043010        5.2050331789244971E-022   1.4906613318545846E-027
   10.638297872340425        5.3688608482785874E-022   1.5384635125794348E-027
   10.526315789473685        5.5360122649101452E-022   1.5872708105921893E-027
   10.416666666666666        5.7065180529981980E-022   1.6370935163985786E-027
   10.309278350515465        5.8804087695456443E-022   1.6879419177012882E-027
   10.204081632653061        6.0577149047213771E-022   1.7398262994388211E-027
   10.101010101010100        6.2384668821961979E-022   1.7927569438234358E-027
   10.000000000000000        6.4226950594727315E-022   1.8467441303781746E-027
   9.9009900990099009        6.6104297282094964E-022   1.9017981359730261E-027
   9.8039215686274517        6.8017011145393199E-022   1.9579292348602421E-027
   9.7087378640776691        6.9965393793822229E-022   2.0151476987088404E-027
   9.6153846153846150        7.1949746187529854E-022   2.0734637966383188E-027
   9.5238095238095237        7.3970368640634941E-022   2.1328877952516094E-027
   9.4339622641509440        7.6027560824200355E-022   2.1934299586672926E-027
   9.3457943925233646        7.8121621769156765E-022   2.2551005485510947E-027
   9.2592592592592595        8.0252849869178558E-022   2.3179098241466964E-027
   9.1743119266055047        8.2421542883513174E-022   2.3818680423058698E-027
   9.0909090909090917        8.4627997939765276E-022   2.4469854575179620E-027
   9.0090090090090094        8.6872511536636487E-022   2.5132723219387521E-027
   8.9285714285714288        8.9155379546622495E-022   2.5807388854186967E-027
   8.8495575221238933        9.1476897218668067E-022   2.6493953955305802E-027
   8.7719298245614041        9.3837359180781242E-022   2.7192520975965925E-027
   8.6956521739130430        9.6237059442607910E-022   2.7903192347148449E-027
   8.6206896551724146        9.8676291397967482E-022   2.8626070477853488E-027
   8.5470085470085468        1.0115534782735084E-021   2.9361257755354638E-027
   8.4745762711864412        1.0367452090038126E-021   3.0108856545448355E-027
   8.4033613445378155        1.0623410217823946E-021   3.0868969192698400E-027
   8.3333333333333339        1.0883438261605372E-021   3.1641698020675412E-027
   8.2644628099173545        1.1147565256525517E-021   3.2427145332191802E-027
   8.1967213114754092        1.1415820177590030E-021   3.3225413409532084E-027
   8.1300813008130088        1.1688231939896014E-021   3.4036604514678849E-027
   8.0645161290322580        1.1964829398857811E-021   3.4860820889534242E-027
   8.0000000000000000        1.2245641350429620E-021   3.5698164756137415E-027
   7.9365079365079367        1.2530696531325096E-021   3.6548738316877843E-027
   7.8740157480314963        1.2820023619233971E-021   3.7412643754704620E-027
   7.8125000000000000        1.3113651233035740E-021   3.8289983233331902E-027
   7.7519379844961236        1.3411607933010530E-021   3.9180858897440672E-027
   7.6923076923076925        1.3713922221047169E-021   4.0085372872876641E-027
   7.6335877862595423        1.4020622540848525E-021   4.1003627266844756E-027
   7.5757575757575761        1.4331737278134211E-021   4.1935724168100163E-027
   7.5187969924812030        1.4647294760840653E-021   4.2881765647135689E-027
   7.4626865671641793        1.4967323259318619E-021   4.3841853756366163E-027
   7.4074074074074074        1.5291850986528262E-021   4.4816090530309369E-027
   7.3529411764705879        1.5620906098231702E-021   4.5804577985763971E-027
   7.2992700729927007        1.5954516693183212E-021   4.6807418121984249E-027
   7.2463768115942031        1.6292710813317092E-021   4.7824712920851935E-027
   7.1942446043165464        1.6635516443933207E-021   4.8856564347045059E-027
   7.1428571428571432        1.6982961513880317E-021   4.9903074348204021E-027
   7.0921985815602833        1.7335073895737153E-021   5.0964344855094815E-027
   7.0422535211267610        1.7691881405991383E-021   5.2040477781769497E-027
   6.9930069930069934        1.8053411805216434E-021   5.3131575025724134E-027
   6.9444444444444446        1.8419692798246245E-021   5.4237738468054063E-027
   6.8965517241379306        1.8790752034347990E-021   5.5359069973606585E-027
   6.8493150684931505        1.9166617107392801E-021   5.6495671391131320E-027
