 #Opacity coefficient HI (G2V)
 # 1/Lambda [mu m^-1]              k_bf [cm^2]               k_ff [cm^2]
   17.857142857142858        1.7426141006966874E-018   1.2753956283227287E-028
   17.543859649122808        1.8296288729226517E-018   1.3436111278122534E-028
   17.241379310344829        1.9192697620443495E-018   1.4141997538940426E-028
   16.949152542372882        2.0115623180871942E-018   1.4872013229700597E-028
   16.666666666666668        2.1065315571948958E-018   1.5626556307892144E-028
   16.393442622950818        2.2042019652636012E-018   1.6406024529128851E-028
   16.129032258064516        2.3045975014816080E-018   1.7210815451623750E-028
   15.873015873015873        2.4077416017787840E-018   1.8041326440492960E-028
   15.625000000000000        2.5136571821895771E-018   1.8897954671897958E-028
   15.384615384615385        2.6223666421332653E-018   1.9781097137034790E-028
   15.151515151515152        2.7338918676148846E-018   2.0691150645978167E-028
   14.925373134328359        2.8482542343500763E-018   2.1628511831387914E-028
   14.705882352941176        2.9654746108169080E-018   2.2593577152084675E-028
   14.492753623188406        3.0855733612375589E-018   2.3586742896501343E-028
   14.285714285714286        3.2085703484925923E-018   2.4608405186016354E-028
   14.084507042253522        3.3344849369704022E-018   2.5658959978174531E-028
   13.888888888888889        3.4633359953542684E-018   2.6738803069800716E-028
   13.698630136986301        3.5951418993493486E-018   2.7848330100011366E-028
   13.513513513513514        3.7299205343517960E-018   2.8987936553128754E-028
   13.333333333333334        3.8676892980620834E-018   3.0158017761502180E-028
   13.157894736842104        4.0084651030445213E-018   3.1358968908240409E-028
   12.987012987012987        4.1522643792348566E-018   3.2591185029859349E-028
   12.820512820512821        4.2991030763977218E-018   3.3855061018848480E-028
   12.658227848101266        4.4489966665356670E-018   3.5150991626159782E-028
   12.500000000000000        4.6019601462513776E-018   3.6479371463622267E-028
   12.345679012345679        4.7580080390646351E-018   3.7840595006285391E-028
   12.195121951219512        4.9171543976855019E-018   3.9235056594694252E-028
   12.048192771084338        5.0794128062451189E-018   4.0663150437099281E-028
   11.904761904761905        5.2447963824854950E-018   4.2125270611603324E-028
   11.764705882352942        5.4133177799095454E-018   4.3621811068248324E-028
   11.627906976744185        5.5849891898926241E-018   4.5153165631044240E-028
   11.494252873563218        5.7598223437567236E-018   4.6719727999942365E-028
   11.363636363636363        5.9378285148084654E-018   4.8321891752755144E-028
   11.235955056179776        6.1190185203419769E-018   4.9960050347024706E-028
   11.111111111111111        6.3034027236076559E-018   5.1634597121841735E-028
   10.989010989010989        6.4909910357478522E-018   5.3345925299616968E-028
   10.869565217391305        1.5191654586453365E-027   5.5094427987806734E-028
   10.752688172043010        1.5674438960122119E-027   5.6880498180594346E-028
   10.638297872340425        1.6167100757591536E-027   5.8704528760528804E-028
   10.526315789473685        1.6669731304565698E-027   6.0566912500122678E-028
   10.416666666666666        1.7182421712183290E-027   6.2468042063410253E-028
   10.309278350515465        1.7705262878111802E-027   6.4408310007467431E-028
   10.204081632653061        1.8238345487621881E-027   6.6388108783894807E-028
   10.101010101010100        1.8781760014642314E-027   6.8407830740265195E-028
   10.000000000000000        1.9335596722796266E-027   7.0467868121536596E-028
   9.9009900990099009        1.9899945666419289E-027   7.2568613071432081E-028
   9.8039215686274517        2.0474896691559641E-027   7.4710457633787324E-028
   9.7087378640776691        2.1060539436961424E-027   7.6893793753867273E-028
   9.6153846153846150        2.1656963335030993E-027   7.9119013279652585E-028
